Location,Area,Block,Phase,Sector
"DHA Defence Phase 2, DHA Defence",DHA Defence Phase 2,,,
"Bani Gala, Islamabad",Bani Gala,,,
"Bani Gala, Islamabad",Bani Gala,,,
"Askari Tower 3, DHA Defence Phase 5",Askari Tower 3,,,
"DHA Phase 5 - Sector B, DHA Defence Phase 5",DHA Phase 5,,"Sector B, DHA Defence Phase 5",
"DHA Defence Phase 2, DHA Defence",DHA Defence Phase 2,,,
"Diplomatic Enclave, Islamabad",Diplomatic Enclave,,,
"Karakoram Diplomatic Enclave, Islamabad",Karakoram Diplomatic Enclave,,,
"Diplomatic Enclave, Islamabad",Diplomatic Enclave,,,
"Diplomatic Enclave, Islamabad",Diplomatic Enclave,,,
"F-6, Islamabad",,,,F-6
"Bahria Enclave - Sector G, Bahria Enclave",Bahria Enclave,,,
"Bahria Enclave - Sector G, Bahria Enclave",Bahria Enclave,,,
"G-13, Islamabad",,,,G-13
"Gulberg Greens, Gulberg",Gulberg Greens,,,
"Faisal Town - F-18, Islamabad",Faisal Town,,,F-18
"DHA Phase 2 - Sector G, DHA Defence Phase 2",DHA Phase 2,,"Sector G, DHA Defence Phase 2",
"DHA Defence Phase 2, DHA Defence",DHA Defence Phase 2,,,
"MPCHS - Block C1, MPCHS - Multi Gardens",MPCHS,"Block C1, MPCHS",,
"Naval Farms Housing Scheme, Islamabad",Naval Farms Housing Scheme,,,
"Warda Hamna Residencia 3, G-11/3",G-11/3,,,G-11/3
"Sukh Chayn Residence, F-10",F-10,,,F-10
"Bahria Enclave, Bahria Town",Bahria Enclave,,,
"DHA Defence Phase 2, DHA Defence",DHA Defence Phase 2,,,
"DHA Phase 1 - Sector E, DHA Defence Phase 1",DHA Phase 1,,"Sector E, DHA Defence Phase 1",
"DHA Defence Phase 1, DHA Defence",DHA Defence Phase 1,,,
"G-15/4, G-15",G-15,,,G-15/4
"Bahria Enclave - Sector C1, Bahria Enclave",Bahria Enclave,,,
"Bahria Enclave - Sector C1, Bahria Enclave",Bahria Enclave,,,
"Bahria Enclave, Bahria Town",Bahria Enclave,,,
"Top City 1, Islamabad",Top City 1,,,
"MPCHS - Multi Gardens, B-17",MPCHS,,,B-17
"H-13, Islamabad",,,,H-13
"The Centaurus, F-8",F-8,,,F-8
"NORA Residences, GT Road",NORA Residences,,,
"DHA Defence Phase 2, DHA Defence",DHA Defence Phase 2,,,
"G-14/4, G-14",G-14,,,G-14/4
"G-9/3, G-9",G-9,,,G-9/3
"DHA Phase 1 - Defence Villas, DHA Phase 1 - Sector F",DHA Phase 1,,"Defence Villas, DHA Phase 1",
"DHA Defence Phase 2, DHA Defence",DHA Defence Phase 2,,,
"G-13, Islamabad",,,,G-13
"MPCHS - Multi Gardens, B-17",MPCHS,,,B-17
"G-13/3, G-13",G-13,,,G-13/3
"Gulberg, Islamabad",Gulberg,,,
"G-9/3, G-9",G-9,,,G-9/3
"DHA Phase 2 - Sector H, DHA Defence Phase 2",DHA Phase 2,,"Sector H, DHA Defence Phase 2",
"D-17, Islamabad",,,,D-17
"Oleander Sector - DHA Homes Block A, DHA Valley - Oleander Sector",Oleander Sector,"DHA Homes Block A, DHA Valley",,
"E-7, Islamabad",,,,E-7
"F-8, Islamabad",,,,F-8
"F-7, Islamabad",,,,F-7
"F-6, Islamabad",,,,F-6
"F-8, Islamabad",,,,F-8
"E-7, Islamabad",,,,E-7
"University Town, Islamabad",University Town,,,
"Bahria Enclave - Sector C1, Bahria Enclave",Bahria Enclave,,,
"F-8, Islamabad",,,,F-8
"B-17, Islamabad",,,,B-17
"Faisal Margalla City, B-17",B-17,,,B-17
"B-17, Islamabad",,,,B-17
"F-17, Islamabad",,,,F-17
"Bahria Enclave - Sector C1, Bahria Enclave",Bahria Enclave,,,
"Bahria Enclave - Sector C3, Bahria Enclave",Bahria Enclave,,,
"Jinnah Gardens, FECHS",Jinnah Gardens,,,
"Mall of Islamabad, Blue Area",Mall of,,,
"Top City 1 - Block A, Top City 1",Top City 1,"Block A, Top City 1",,
"F-11, Islamabad",,,,F-11
"G-15 Markaz, G-15",G-15,,,G-15
"Bahria Enclave, Bahria Town",Bahria Enclave,,,
"Bahria Enclave - Sector C1, Bahria Enclave",Bahria Enclave,,,
"Bahria Enclave - Sector A, Bahria Enclave",Bahria Enclave,,,
"F-7, Islamabad",,,,F-7
"F-7/3, F-7",F-7,,,F-7/3
"Mall of Islamabad, Blue Area",Mall of,,,
"F-7, Islamabad",,,,F-7
"MPCHS - Block F, MPCHS - Multi Gardens",MPCHS,"Block F, MPCHS",,
"Bahria Enclave, Bahria Town",Bahria Enclave,,,
"I-8/3, I-8",I-8,,,I-8/3
"Top City 1, Islamabad",Top City 1,,,
"Top City 1, Islamabad",Top City 1,,,
"Eighteen, Kashmir Highway",Eighteen,,,
"F-11/4, F-11",F-11,,,F-11/4
"B-17, Islamabad",,,,B-17
"Executive Heights, F-11",F-11,,,F-11
"Sehala Farm House, Islamabad",Sehala Farm House,,,
"Top City 1 - Block B, Top City 1",Top City 1,"Block B, Top City 1",,
"Top City 1 - Block D, Top City 1",Top City 1,"Block D, Top City 1",,
"G-13, Islamabad",,,,G-13
"Bahria Enclave - Sector C2, Bahria Enclave",Bahria Enclave,,,
"Gulberg Residencia - Block F, Gulberg Residencia",Gulberg Residencia,"Block F, Gulberg Residencia",,
"Soan Garden, Islamabad",Soan Garden,,,
"Soan Garden, Islamabad",Soan Garden,,,
"Soan Garden, Islamabad",Soan Garden,,,
"MPCHS - Block F, MPCHS - Multi Gardens",MPCHS,"Block F, MPCHS",,
"Zarkon Heights, G-15",G-15,,,G-15
"DHA Defence Phase 2, DHA Defence",DHA Defence Phase 2,,,
"G-15 Markaz, G-15",G-15,,,G-15
"G-15/1, G-15",G-15,,,G-15/1
"G-15 Markaz, G-15",G-15,,,G-15
"Soan Garden - Block B, Soan Garden",Soan Garden,"Block B, Soan Garden",,
"National Police Foundation O-9 - Block C, National Police Foundation O-9",National Police Foundation O-9,"Block C, National Police Foundation O-9",,O-9
"F-7, Islamabad",,,,F-7
"F-7/2, F-7",F-7,,,F-7/2
"G-9/3, G-9",G-9,,,G-9/3
"F-10/2, F-10",F-10,,,F-10/2
"Diplomatic Enclave, Islamabad",Diplomatic Enclave,,,
"E-11, Islamabad",,,,E-11
"F-11, Islamabad",,,,F-11
"Faisal Margalla City, B-17",B-17,,,B-17
"Eighteen, Kashmir Highway",Eighteen,,,
"E-11/2, E-11",E-11,,,E-11/2
"F-17, Islamabad",,,,F-17
"F-17, Islamabad",,,,F-17
"G-15, Islamabad",,,,G-15
"F-15, Islamabad",,,,F-15
"F-15, Islamabad",,,,F-15
"Goldcrest Highlife, DHA Defence Phase 2",Goldcrest Highlife,,,
"Goldcrest Highlife, DHA Defence Phase 2",Goldcrest Highlife,,,
"National Police Foundation O-9, Islamabad",,,,O-9
"Soan Garden, Islamabad",Soan Garden,,,
"CBR Town Phase 1 - Block B, CBR Town Phase 1",CBR Town Phase 1,"Block B, CBR Town Phase 1",,
"G-13, Islamabad",,,,G-13
"G-13, Islamabad",,,,G-13
"Bahria Enclave - Sector C1, Bahria Enclave",Bahria Enclave,,,
"Faisal Town Phase 1 - Block C, Faisal Town Phase 1",Faisal Town Phase 1,"Block C, Faisal Town Phase 1",,
"I-14/4, I-14",I-14,,,I-14/4
"F-6/2, F-6",F-6,,,F-6/2
"G-9/3, G-9",G-9,,,G-9/3
"Karakoram Diplomatic Enclave, Islamabad",Karakoram Diplomatic Enclave,,,
"Karakoram Diplomatic Enclave, Islamabad",Karakoram Diplomatic Enclave,,,
"Faisal Margalla City, B-17",B-17,,,B-17
"Defence Residency, DHA Defence Phase 2",Defence Residency,,,
"Jinnah Gardens Phase 1, Jinnah Gardens",Jinnah Gardens Phase 1,,,
"Bahria Enclave - Sector F, Bahria Enclave",Bahria Enclave,,,
"F-6/3, F-6",F-6,,,F-6/3
"Bahria Enclave - Sector M, Bahria Enclave",Bahria Enclave,,,
"Bahria Enclave - Sector H, Bahria Enclave",Bahria Enclave,,,
"G-13, Islamabad",,,,G-13
"E-11/3, E-11",E-11,,,E-11/3
"H-13, Islamabad",,,,H-13
"DHA Defence Phase 2, DHA Defence",DHA Defence Phase 2,,,
"DHA Phase 1 - Sector C, DHA Defence Phase 1",DHA Phase 1,,"Sector C, DHA Defence Phase 1",
"Gulberg Residencia - Block C, Gulberg Residencia",Gulberg Residencia,"Block C, Gulberg Residencia",,
"Constitution Avenue, Islamabad",Constitution Avenue,,,
"11 Central Apartments, G-11/1",G-11/1,,,G-11/1
"11 Central Apartments, G-11/1",G-11/1,,,G-11/1
"F-6/1, F-6",F-6,,,F-6/1
"PWD Housing Scheme, Islamabad",PWD Housing Scheme,,,
"Jinnah Gardens Phase 1, Jinnah Gardens",Jinnah Gardens Phase 1,,,
"F-7, Islamabad",,,,F-7
"Bahria Enclave, Bahria Town",Bahria Enclave,,,
"E-16/3, E-16",E-16,,,E-16/3
"E-16, Islamabad",,,,E-16
"Karakoram Diplomatic Enclave, Islamabad",Karakoram Diplomatic Enclave,,,
"Bahria Enclave, Bahria Town",Bahria Enclave,,,
"DHA Defence Phase 5, DHA Defence",DHA Defence Phase 5,,,
"MPCHS - Multi Gardens, B-17",MPCHS,,,B-17
"I-10/1, I-10",I-10,,,I-10/1
"I-10/1, I-10",I-10,,,I-10/1
"E-11, Islamabad",,,,E-11
"DHA Defence Phase 2, DHA Defence",DHA Defence Phase 2,,,
"Bahria Enclave - Sector B2, Bahria Enclave",Bahria Enclave,,,
"Jinnah Gardens Phase 1, Jinnah Gardens",Jinnah Gardens Phase 1,,,
"F-10, Islamabad",,,,F-10
"Pakistan Town - Phase 1, Pakistan Town",Pakistan Town,,"Phase 1, Pakistan Town",
"Naval Anchorage - Block F, Naval Anchorage",Naval Anchorage,"Block F, Naval Anchorage",,
"DHA Defence, Islamabad",DHA Defence,,,
"G-13, Islamabad",,,,G-13
"G-13, Islamabad",,,,G-13
"F-7, Islamabad",,,,F-7
"Soan Garden, Islamabad",Soan Garden,,,
"F-7, Islamabad",,,,F-7
"F-7, Islamabad",,,,F-7
"DHA Defence Phase 2, DHA Defence",DHA Defence Phase 2,,,
"DHA Defence Phase 2, DHA Defence",DHA Defence Phase 2,,,
"Bahria Enclave - Sector A, Bahria Enclave",Bahria Enclave,,,
"E-11, Islamabad",,,,E-11
"F-7, Islamabad",,,,F-7
"F-7, Islamabad",,,,F-7
"DHA Defence Phase 2, DHA Defence",DHA Defence Phase 2,,,
"DHA Phase 3 - Block A, DHA Defence Phase 3",DHA Phase 3,"Block A, DHA Defence Phase 3",,
"Gulberg Greens - Block E, Gulberg Greens",Gulberg Greens,"Block E, Gulberg Greens",,
"Park View - Block B, Park View City",Park View,"Block B, Park View City",,
"DHA Valley - Oleander Sector, DHA Valley",DHA Valley,,,
"DHA Defence Phase 2, DHA Defence",DHA Defence Phase 2,,,
"The Galleria, Bahria Enclave",The Galleria,,,
