Title,Location,Beds,Baths,Area (Marla),Price (PKR),Price Per Marla
A Designer Villa Is Available For A Confirm Offer Owner Build For Own Use A+ Construction Quality,"Bahria Enclave - Sector C2, Bahria Enclave",6.0,6.0,20.0,110000000.0,5500000.0
50 Marla Farm House Plot For Sale At Murree Expressway Near Murree Toll Plaza,"Islamabad - Murree Expressway, Islamabad",,1.0,50.0,60000000.0,1200000.0
Bahria Enclave Islamabad Sector N 5Marla Brand New House For Sale,"Bahria Enclave - Sector N, Bahria Enclave",3.0,4.0,5.0,24500000.0,4900000.0
Two (2) bed flat (appartment) available for sale in gulberg green Islamabad Pakistan,"Gulberg Greens, Gulberg",2.0,2.0,7.4,29000000.0,3918918.918918919
Two (2) Bed Flat (Apartment) Available For Sale In Gulberg Green Islamabad Pakistan,"Gulberg Greens, Gulberg",2.0,2.0,3.3,9000000.0,2727272.7272727275
One (1) Bed Flat (Apartment) Available For Sale In Gulberg Green Islamabad Pakistan,"Gulberg Greens, Gulberg",1.0,1.0,2.1,6200000.0,2952380.9523809524
Extra Land House Available For Sale Of Prime Location,"F-10/2, F-10",7.0,6.0,26.0,220000000.0,8461538.461538462
Beautiful House Available For Sale In F10,"F-10, Islamabad",7.0,6.0,40.0,300000000.0,7500000.0
10 Marla Brand New Designer House For Sale In D H A Phase 2 Islamabad,"DHA Defence Phase 2, DHA Defence",5.0,6.0,10.0,65000000.0,6500000.0
Centrally Located 2 Bed Room Flat Available In Bahria Enclave For Sale,"Bahria Enclave, Bahria Town",2.0,2.0,5.6,15500000.0,2767857.142857143
Main Double Road House In E-11 For Sale,"E-11, Islamabad",7.0,6.0,20.0,190000000.0,9500000.0
10 Marla House With Basement For Sale In Bahria Enclave Islamabad,"Bahria Enclave - Sector A, Bahria Enclave",8.0,7.0,10.0,51000000.0,5100000.0
1 Kanal Luxury Brand New House Available For Sale,"Naval Anchorage - Block F, Naval Anchorage",4.0,4.0,20.0,59000000.0,2950000.0
F-11 House For Sale,"F-11, Islamabad",6.0,6.0,20.0,180000000.0,9000000.0
Brand New 3 Kanal House Is Up For Sale,"Bahria Garden City - Zone 4, Bahria Garden City",11.0,7.0,60.0,275000000.0,4583333.333333333
"One Bed Apartment For Sale In LAMAR TOWER , Main Double Road E-11/2 Markaz , Islamabad","E-11/2, E-11",1.0,1.0,2.8,15900000.0,5678571.428571429
To Sale You Can Find Spacious House In PHAF Officers Residencia,"PHAF Officers Residencia, Kuri Road",5.0,4.0,8.0,41500000.0,5187500.0
Luxury Full House Is Available For Sale In Islamabad,"D-12/4, D-12",3.0,3.0,4.0,45000000.0,11250000.0
30*60 Single Storey House For Sale,"Jinnah Gardens Phase 1, Jinnah Gardens",2.0,3.0,7.0,19000000.0,2714285.714285714
F-11 Luxury Fully Furnished Renovated 3-Bed Apartment Available For Sale,"F-11 Markaz, F-11",3.0,4.0,12.2,56000000.0,4590163.934426229
10 Marla 2023 Construction House Is Available For Sale In Sector F DHA Phase 1 Islamabad,"DHA Phase 1 - Sector F, DHA Defence Phase 1",5.0,5.0,10.0,50000000.0,5000000.0
2 Bedroom Apartment Available For Sale In Executive Heights F-11 Markaz Islamabad,"F-11, Islamabad",2.0,2.0,6.2,31500000.0,5080645.161290322
6 Marla Beautiful House available for Sale,"Soan Garden, Islamabad",4.0,6.0,6.0,29000000.0,4833333.333333333
Lop Area 2 Bed Apartment At Second Floor,"Jinnah Gardens Phase 1, Jinnah Gardens",2.0,2.0,2.9,4500000.0,1551724.1379310344
A Spacious 10 Marla House In G-13/3,"G-13/3, G-13",6.0,6.0,10.0,82500000.0,8250000.0
1 Kanal Brand New House Is Available For Sale In Phase 3 DHA Islamabad,"DHA Defence Phase 3, DHA Defence",5.0,5.0,20.0,89000000.0,4450000.0
