Title,Price,Location,Beds,Baths,Area
"Luxurious 1 Kanal Luxurious House For Sale In DHA Defence Phase 2, Islamabad!",12.8 Crore,"DHA Defence Phase 2, DHA Defence",6,6,1 Kanal
"Luxurious 1 Kanal House for Sale in DHA Defence Phase 2, Islamabad!",13.8 Crore,"DHA Defence Phase 2, DHA Defence",6,6,1 Kanal
"Investor Alert 2000 Sqyd Beautiful Build House 12 Bed Drawing ,Dining 3 TV Lounge 2 Kitchen Front Beautiful Huge Lawn Peaceful Location for sale",1.2 Arab,"F-6, Islamabad",11,7,4 Kanal
"8 Marla Untouched House With 1.5 Marla Extra Land In The Back Yard In Lilly- A, DHA Homes",1.52 Crore,"DHA Valley - Lilly Sector, DHA Valley",3,3,9 Marla
8 Marla Brand New (2nd To Corner) House For Sale In Oleander Sector- DHA Homes-DHA Phase 7,1.5 Crore,"Oleander Sector - DHA Homes, DHA Valley - Oleander Sector",3,3,8 Marla
Double Storey House Available For Sale In Soan Garden Islamabad Near To Highway,2.95 Crore,"Soan Garden, Islamabad",5,5,6 Marla
1 Kanal Owner Built Solid Triple Story Furnished Designer House,14 Crore,"DHA Phase 1 - Sector F, DHA Defence Phase 1",11,7,1 Kanal
Dha 2 One Kanal Owner Build Designer House Full Furnished House Prime Location Of Dha2,13.9 Crore,"DHA Defence Phase 2, DHA Defence",5,6,1 Kanal
10 Marla Furnished House For Sale In TopCity-1 With Solar System &Amp; Swimming Pool,4.6 Crore,"Top City 1 - Block A, Top City 1",5,6,10 Marla
I-12/1 L-Block Park Face Corner E-Type Flat,54.37 Lakh,"I-12/1, I-12",2,2,3.2 Marla
Unique House Available For Sale,12.75 Crore,"DHA Defence Phase 2, DHA Defence",6,6,1 Kanal
South Facing Designer House Available For Sale,14.5 Crore,"DHA Defence Phase 2, DHA Defence",5,6,1 Kanal
"D-12 Brand New 500 YARD Architect Design Owner Build House Triple Storey House OPPOISTE MARGAALA HILLS Complete Imported Fitting And Fixtures 10 Master Bedrooms Drawing Dining , Powder Room SQTR REASONABLE PRICE",26.5 Crore,"D-12, Islamabad",7,7,1 Kanal
Brand New Spanish Style House For Sale G-9/3,17 Crore,"G-9, Islamabad",7,6,14 Marla
1 Kanal House For Sale,8.5 Crore,"Naval Anchorage - Block L, Naval Anchorage",6,6,1 Kanal
House For Sale In Islamabad,1.2 Crore,"Burma Town, Islamabad",6,6,4 Marla
5 Marla Luxury Brand New House For Sale,2.2 Crore,"MPCHS - Block F, MPCHS - Multi Gardens",3,3,5 Marla
5 MARLA HOUSE FOR SALE,2.7 Crore,"Park View - Block F, Park View City",3,4,5 Marla
A Palatial Residence For Sale In D-12,16.5 Crore,"D-12, Islamabad",9,6,1 Kanal
2 Bed Apartment On Main Double Available For Sale In Gulshan E Sehat E-18 Block A In Kaka Khel Arcade Islamabad.,70 Lakh,"Gulshan-e-Sehat 1, E-18",2,2,3.1 Marla
1 Kanal Brand New House Available. For Sale in E-11 Islamabad.,18 Crore,"E-11, Islamabad",N/A,N/A,1 Kanal
8 Marla MDR Brand New House Available For Sale In Faisal Town Phase 1 Of Block B Islamabad Pakistan,3.9 Crore,"Faisal Town Phase 1 - Block B, Faisal Town Phase 1",5,6,8 Marla
5 Marla Corner House For Sale In DHA Phase 7,75.5 Lakh,"Lilly Sector - Block B, DHA Valley - Lilly Sector",2,2,5 Marla
"Main Boulevard Facing 8 Marla Double Storey House DHA Phase 7, Rawalpindi",1.58 Crore,"Oleander Sector - DHA Homes, DHA Valley - Oleander Sector",3,3,8 Marla
Investor Alert E-7 800 Sqyd Liveable House 4bedd/d TV Lounge Kitchen Front Open Best Location CDA Transfer,45 Crore,"E-7, Islamabad",4,5,1.6 Kanal
666 Yards Extravagant Untouched House For Sale In G-14/4,18.5 Crore,"G-14/4, G-14",8,7,1.3 Kanal
4 Marla single story brand new house 2 bedrooms with attached 2 bathrooms/ one open kitchen drawing room car parking solid construction,76 Lakh,"Lehtrar Road, Islamabad",2,2,4 Marla
30*50 cda transfer sun face house available in g-9/3,5 Crore,"G-9/3, G-9",3,2,6.7 Marla
Brand New House Available For Sale,8.75 Crore,"D-12, Islamabad",5,4,10 Marla
A Decent House For Sale G-9,10.25 Crore,"G-9, Islamabad",5,5,14 Marla
Luxurious 2Bed Apartment in GoldcrestViews1 TowerD Margalla View & Rooftop Amenities DHA-2 Islamabad,2.76 Crore,"Goldcrest Views, DHA Defence Phase 2",2,2,6.8 Marla
Brand New House For Sale D-12/2,14.5 Crore,"D-12/2, D-12",6,7,14 Marla
Stunning Prime Location 10 Marla House In Top City 1 - Block D Available,4.49 Crore,"Top City 1 - Block D, Top City 1",5,6,10 Marla
1 Kanal Brand New Designer House For Sale In D H A Phase 2 Islamabad,9.5 Crore,"DHA Defence Phase 2, DHA Defence",6,6,1 Kanal
"Designer 1 Kanal Modern House For Sale In Multi Gardens B-17, Islamabad MPCHS",8.5 Crore,"MPCHS - Multi Gardens, B-17",6,6,1 Kanal
Ultra Modern House For Sale,12.5 Crore,"DHA Defence Phase 2, DHA Defence",5,6,1 Kanal
3 Bed B type PHA Appartment on Ground Floor For sale,1.02 Crore,"I-16, Islamabad",3,3,6.6 Marla
"Three Bedroom Flat For Sale In Overseas Block Defence Residency near Giga Mall, DHA Phase 2 Islamabad",1.45 Crore,"Defence Residency, DHA Defence Phase 2",3,3,5.1 Marla
14 Marla House In I-8/2 Best Option,16 Crore,"I-8/2, I-8",6,6,14 Marla
Spacious 20 Marla House Available For sale In DHA Phase 2 - Sector G,12.5 Crore,"DHA Phase 2 - Sector G, DHA Defence Phase 2",6,7,1 Kanal
6 MARLA CORNER TRIPLE STORY HOUSE 3700 AQ FT COVERED,5.3 Crore,"DHA Phase 2 - Sector J, DHA Defence Phase 2",6,5,6 Marla
One Kanal Brand New Sun Face House For Sale In G13,16 Crore,"G-13, Islamabad",7,7,1 Kanal
Luxurious 1 Kanal House In DHA Defence Phase 2,10.5 Crore,"DHA Defence Phase 2, DHA Defence",6,6,1 Kanal
"1 Kanal House For Sale DHA Phase 2, Islamabad",12.5 Crore,"DHA Defence Phase 2, DHA Defence",6,5,1 Kanal
14 Marla (40*80) Corner House For Sale in G-9/1 Islamabad.,12.5 Crore,"G-9/1, G-9",6,7,14 Marla
Ground Floor Apartment For Sale,65 Lakh,"Meherban Colony, Islamabad",1,1,2.4 Marla
"5 Marla Single Storey House For Sale Prime Location Near COMSATS University, Tarlai Kalan, Islamabad",1.1 Crore,"Park Road, Islamabad",3,3,5 Marla
"Two Bedroom Luxury Flat For Sale In Goldcrest Views 1 Tower A Near Giga Mall, World Trade Center DHA-2 Islamabad",2.56 Crore,"Goldcrest Views, DHA Defence Phase 2",2,2,6 Marla
Studio Apartment For Sale In Goldcrest Views 2 Tower B Near Giga Mall World Trade Center DHA 2 Islamabad,81 Lakh,"Goldcrest Views, DHA Defence Phase 2",N/A,1,2.1 Marla
30*50 CDA Transfer Front Open House Available In G-9/3,5 Crore,"G-9/3, G-9",3,2,6.7 Marla
600 Square Yards Cda Transfer House Available In F-8/3,30.5 Crore,"F-8/3, F-8",5,5,1.2 Kanal
50*90 Cda Transfer Corner Sun Face House Available In G-10/3 On Good Location,14 Crore,"G-10/3, G-10",5,5,1 Kanal
Brand New 5 Marla House For Sale In Bahria Enclave Islamabad Sector H,2.5 Crore,"Bahria Enclave - Sector H, Bahria Enclave",4,4,5 Marla
Brand New 10 Marla House For Sale In Bahria Enclave Islamabad Sector C1,5.8 Crore,"Bahria Enclave - Sector C1, Bahria Enclave",5,7,10 Marla
"Sumbal Road,& Ahmed Faraz Road Corner Bungalow For Sale In F-10, Islamabad. 1111 sq yards",40 Crore,"F-10, Islamabad",11,7,2.2 Kanal
"House For Sale In Jodha Islamabad Near Golra Railway Station, Sarai Kharbuza & D-12 Sector Islamabad",80 Lakh,"Sarai Kharbuza, Islamabad",4,4,4 Marla
2 Beds Apartment 3rd Floor,65 Lakh,"Jinnah Gardens, FECHS",2,2,4.6 Marla
Luxury Apartment Of 2642 Square Feet For sale In The Centaurus,14 Crore,"The Centaurus, F-8",3,3,11.7 Marla
Find Your Ideal Flat In Islamabad Under Rs. 22500000,2.25 Crore,"KMK Towers, Top City 1",2,2,6.6 Marla
Prime Estate : 1 Kanal Contemporary Designer House(Gas Available) Ready For Sale In DHA DEFENCE PHASE 2,10.5 Crore,"DHA Defence Phase 2, DHA Defence",6,6,1 Kanal
South Face Designer House Available For Sale,13.9 Crore,"DHA Phase 2 - Sector B, DHA Defence Phase 2",5,6,1 Kanal
"Classic Designer House In Fmc - Faisal Margalla City, Multi Gardens B-17, Islamabad",3.95 Crore,"B-17, Islamabad",5,5,8 Marla
8.5 Marla House For Sale In Islamabad CDA Sector I 14,4.55 Crore,"I-14/4, I-14",7,7,8.5 Marla
1 KANAL LUXURY DESIGNER BRAND NEW HOUSE FOR SALE IN G-13/2,16.5 Crore,"G-13/2, G-13",8,7,1 Kanal
CHANCE DEAL 2 BED BRAND NEW IN MARKAZ,58 Lakh,"B-17, Islamabad",2,2,3.6 Marla
Ideally Located House Of 5 Marla Is Available For sale In Islamabad,3.5 Crore,"MPCHS - Multi Gardens, B-17",4,5,5 Marla
Centrally Located House Available In Faisal Margalla City For Sale,2.7 Crore,"Faisal Margalla City, B-17",4,5,5 Marla
Dha2 One kanal Owner Built Designer House,10.5 Crore,"DHA Defence Phase 2, DHA Defence",5,6,1 Kanal
1 Kanal Double Unit 6 Bed House At Very Reasonable Price,9.5 Crore,"DHA Defence Phase 2, DHA Defence",6,7,1 Kanal
Studio Apartment For Sale In Goldcrest Views 2 Tower B Near Giga Mall DHA 2 Islamabad,89.9 Lakh,"Goldcrest Views, DHA Defence Phase 2",N/A,1,2.4 Marla
Studio Apartment For Sale In Goldcrest Views 1 Tower B Near Giga Mall DHA 2 Islamabad,1.08 Crore,"Goldcrest Views, DHA Defence Phase 2",N/A,1,2.7 Marla
Studio Apartment For Sale In Goldcrest Views 1 Tower C Near Giga Mall DHA 2 Islamabad,1.09 Crore,"Goldcrest Views, DHA Defence Phase 2",N/A,1,2.8 Marla
Spacious Corner Two Unit House For Sale In DHA Phase 5 Sector F Complete In June 2024 Near To Park,8.5 Crore,"DHA Phase 5 - Sector F, DHA Defence Phase 5",5,6,1 Kanal
1 Kanal Designer House,9 Crore,"MPCHS - Block A, MPCHS - Multi Gardens",6,6,1 Kanal
"Gulberg Green Residential, I Block 7 Marla Double Storey Brand New House",4.8 Crore,"Gulberg Residencia - Block I, Gulberg Residencia",4,5,7 Marla
"Two Bedroom Flat For Sale In Defence Residency near Giga Mall, DHA Phase 2 Islamabad",75 Lakh,"Defence Residency, DHA Defence Phase 2",2,2,3.6 Marla
Furnished Service Apartment Available For Sale In DHA Phase 2,1.14 Crore,"DHA Defence Phase 2, DHA Defence",1,1,1.6 Marla
Brand New 6 Bed Double Unit Kanal Bungalow,9.5 Crore,"DHA Defence Phase 2, DHA Defence",6,6,1 Kanal
Brand New Double Unit 6 Bed A+ Quality Construction Mansion,11.9 Crore,"DHA Defence Phase 2, DHA Defence",6,6,1 Kanal
Elegantly Designed 2 BHK Apartment In The Most Prime Location ON Installments,1.11 Crore,"DHA Defence Phase 2, DHA Defence",2,2,5.3 Marla
Modern 2 BHK Apartment 2.5 Year Payment Plan At The Most Accessible Location,1.11 Crore,"DHA Valley, DHA Defence",2,2,5.3 Marla
940 Sq Feet 1 BHK Modern Apartment On Impressive Installment Plan,87.61 Lakh,"DHA Defence Phase 2, DHA Defence",1,1,4.2 Marla
"Beautiful Ideal Location House Walking Distance From Park, School And Market",3.8 Crore,"Top City 1, Islamabad",5,6,10 Marla
Solid Construction Used House Available For Sale,10 Crore,"DHA Phase 2 - Sector F, DHA Defence Phase 2",6,6,1 Kanal
Corner House With Basement Available For Sale,7.8 Crore,"DHA Defence Phase 2, DHA Defence",5,6,11 Marla
I-10/2 Park Face House For Sale,4.6 Crore,"I-10/2, I-10",4,4,6 Marla
Oleander Block A 8 Marla Home For Sale,1.5 Crore,"Oleander Sector - DHA Homes Block A, DHA Valley - Oleander Sector",3,3,8 Marla
10 Marla Corner House in Block D Top City Islamabad.,5.65 Crore,"Top City 1 - Block D, Top City 1",5,6,10 Marla
10 Marla Double Unit Brand New House. Available For Sale in Top City Block A Islamabad.,4.4 Crore,"Top City 1 - Block A, Top City 1",4,6,10 Marla
10 Marla House Is Available For Sale In Top City Block A Islamabad,4.5 Crore,"Top City 1 - Block A, Top City 1",5,N/A,10 Marla
Travertine Elevated Themed House For Sale,11.9 Crore,"DHA Defence Phase 2, DHA Defence",N/A,N/A,1 Kanal
East Park Facing and Sun Facing 10 Marla Brand New House For Sale 50 Wide Conform offer required,4.5 Crore,"Top City 1, Islamabad",7,7,10 Marla
1200 Sq Yd Street Corner House For Sale,60 Crore,"F-6, Islamabad",10,6,2.4 Kanal
Prime Location House Available For Sale With Extra Land,34 Crore,"F-6, Islamabad",6,6,2 Kanal
5 Marla Brand New Designer House Height Located House For Sale Sector H,2.45 Crore,"Bahria Enclave - Sector H, Bahria Enclave",3,4,5 Marla
Luxury Apartment For Sale In Top City 1 Islamabad,1.4 Crore,"Top City 1, Islamabad",2,2,4.7 Marla
Farm House For Sale On Murree Road Islamabad Prime Location Near Serena Hotel & Islamabad Club,1.15 Arab,"Orchard Scheme, Islamabad",5,5,20 Kanal
Brand New 3 Kanal Hose Is Up For Sale,27.5 Crore,"Bahria Garden City - Zone 4, Bahria Garden City",11,7,3 Kanal
G11/3 The Arch 3bed Apartment For Sale,4.5 Crore,"The Arch, G-11/3",3,4,10 Marla
Nora Residences 2 BHK Modern Apartment On Installment Plan,1.17 Crore,"NORA Residences, GT Road",2,2,5.5 Marla
2 Bed Apartment Main GT Road,1.08 Crore,"NORA Residences, GT Road",2,2,4.6 Marla
2 BHK Contemporary Apartment On Main GT Road,1.11 Crore,"NORA Residences, GT Road",2,2,5.3 Marla
810 Square Feet 1 Bed Apartment Prime Location On Installments,78.57 Lakh,"DHA Defence Phase 5, DHA Defence",1,1,3.6 Marla
2 Bed Luxury Apartment In NORA Residences Main GT Road For Sale,1.11 Crore,"NORA Residences, GT Road",2,2,5.3 Marla
Brand New Spectacular A+ Designer Kanal Dream House,13.9 Crore,"DHA Defence Phase 2, DHA Defence",5,6,1 Kanal
3 Bedroom Luxury Apartment Available For Sale,2.9 Crore,"Askari Heights 4, DHA Phase 5 - Sector H",3,4,12.4 Marla
Contemporary Designed 1 Kanal Brand New House Ready For Sale In DHA DEFENCE PHASE 2,12.5 Crore,"DHA Defence Phase 2, DHA Defence",6,6,1 Kanal
Gulberg Islamabad Main Road 1 Kanal House For Sale,10 Crore,"Gulberg Residencia - Block E, Gulberg Residencia",8,6,1 Kanal
7 Marla House For sale In Islamabad,3.5 Crore,"Jinnah Gardens, FECHS",7,N/A,7 Marla
The Arabian Themed Brand New Fully Furnished Designer Farm House For Sale In Gulberg Greens Islamabad,39 Crore,"Gulberg Greens - Block D, Gulberg Greens",8,7,5 Kanal
5 Marla Brand New Luxury Double Story House For Sale,6.5 Crore,"D-12/4, D-12",4,5,5 Marla
Well-Constructed Brand New House Available For Sale In E-11/2,16.5 Crore,"E-11/2, E-11",5,6,1 Kanal
"South Facing Brand new House For Sale Heighted Near The park Mosque, Market School Walking Distance Water Filtration Top City 1 Islamabad",3.79 Crore,"Top City 1, Islamabad",5,6,10 Marla
Beautiful Double Unit Designer House Available For Sale In Dha 1,5 Crore,"DHA Defence Phase 1, DHA Defence",5,6,10 Marla
E-11 TWO BEDROOM APARTMENT AVAILABLE FOR SALE.,1.15 Crore,"E-11, Islamabad",2,2,4 Marla
8 MARLA CORNER DOUBLE UNIT HOUSE FOR SALE | SLIGHTLY USED | NEAR TO PARK,3.6 Crore,"CBR Town Phase 1 - Block C, CBR Town Phase 1",5,6,8 Marla
Askari Heights 4 3 Bed Flat For Sale,2.39 Crore,"Askari Heights 4, DHA Phase 5 - Sector H",3,3,10 Marla
Brand New House Available For Sale In F6,1.1 Arab,"F-6, Islamabad",8,N/A,2.4 Kanal
Investor Price House Available For Sale In F6/3,55 Crore,"F-6/3, F-6",6,6,2 Kanal
Warda Humna Gorgeous On Excellent Location 1650 Square Feet Flat For Sale Available In Warda Hamna Residencia 3,3.25 Crore,"Warda Hamna Residencia 3, G-11/3",2,2,7.3 Marla
5 Marla Park facing House Available for sale in Bahria Enclave Sector G Islamabad,2.5 Crore,"Bahria Enclave - Sector G, Bahria Enclave",4,4,5 Marla
Beautiful 10 Marla House Solid Location House Available For Sale (Non Furnished),4.45 Crore,"Bahria Enclave - Sector C1, Bahria Enclave",5,5,10 Marla
30+60 Brand new House For Sale in G13/1 Islamabad,6.5 Crore,"G-13/2, G-13",5,6,7 Marla
5 Marla 2.5 Storey House For Sale,2 Crore,"Ghauri Town Phase 4A, Ghauri Town",5,6,5 Marla
Arabian Architecture: 1 Kanal House Ready For Sale In DHA Phase 2,8.5 Crore,"DHA Defence Phase 2, DHA Defence",6,6,1 Kanal
DHA LEGACY : 1 Kanal Brand New Double Unit House Ready For Sale In DHA DEFENCE PHASE 2,9.5 Crore,"DHA Defence Phase 2, DHA Defence",6,6,1 Kanal
Sleek Design 1 Kanal House Available For Sale In DHA DEFENCE PHASE 2,10 Crore,"DHA Defence Phase 2, DHA Defence",5,6,1 Kanal
Bahria Enclave Islamabad 3 Bed Apartment In Fully Residential And Family Oriented For Sale At Investor Rate,1.4 Crore,"Bahria Enclave, Bahria Town",3,2,7.5 Marla
Two Bedroom Flat For Sale In Defence Residency DHA 2 Islamabad,75 Lakh,"Defence Residency, DHA Defence Phase 2",2,2,3.6 Marla
1 Kanal Double Unit Designer House For Sale At Peak Location In DHA-2,7.25 Crore,"DHA Defence Phase 2, DHA Defence",6,7,14 Marla
Well-Constructed Brand New House Available For Sale In DHA 2,9.5 Crore,"DHA Defence Phase 2, DHA Defence",6,7,1 Kanal
Royal Palace Of 20 Marla At DHA Phase 2 For Sale,12.5 Crore,"DHA Defence Phase 2, DHA Defence",5,6,1 Kanal
Luxury Corner House Is Available For Sale In DHA Defence Phase 5 Islamabad,3.3 Crore,"DHA Defence Phase 5, DHA Defence",4,5,5 Marla
A House Of 2275 Square Feet In Islamabad,5.75 Crore,"MPCHS - Block C1, MPCHS - Multi Gardens",5,6,10.1 Marla
10 Marla Elegant Sunfacing House Available For Sale On Reasonable Price,4.5 Crore,"Bahria Enclave - Sector C1, Bahria Enclave",5,6,10 Marla
Elegant 2 BHK Apartment At NORA RESIDENCES ISLAMABAD On 3 Year Easy Installment Plan,1.11 Crore,"DHA Phase 5 - Downtown, DHA Defence Phase 5",2,2,5.3 Marla
1200 Square Yard House For Sale,60 Crore,"F-7, Islamabad",6,6,2.4 Kanal
House For Sale In I_8/2,11 Crore,"I-8/2, I-8",5,6,10 Marla
"I-8/2, 40X80 Brend New House For Sale 70 Feet Wide Road, Sun Facing",17.75 Crore,"I-8/2, I-8",6,7,12 Marla
6 Marla Beautiful House Available For Sale In Dha Phase 2 Islamabad,4.5 Crore,"DHA Defence Phase 2, DHA Defence",4,5,5 Marla
HOUSE FOR SALE IN G 6 ISLAMABAD,25 Crore,"G-6/4, G-6",6,6,1.2 Kanal
2 BED RESIDENTIAL APARTMENT,70 Lakh,"Faisal Town Phase 1 - Block A, Faisal Town Phase 1",2,2,4.7 Marla
Gomal Road House Available For Sale On Investor Price,65 Crore,"E-7, Islamabad",8,4,2.1 Kanal
Dha Phase 1 Brand New 8 Marla House For Sale,4.9 Crore,"DHA Phase 1 - Sector B1, DHA Defence Phase 1",6,6,8 Marla
7 Marla Double Storey House For Sale,3.5 Crore,"Ghauri Town Phase 4A, Ghauri Town",6,6,7 Marla
5 Marla Double Storey House For Sale,2.15 Crore,"Ghauri Town Phase 4A, Ghauri Town",4,6,5 Marla
A 3 Bedroom Apartment Available For Sale in Defence Residency Al Ghurair Giga Block-15 DHA Phase-II Islamabad,1.55 Crore,"Al-Ghurair Giga - Block 15, Al-Ghurair Giga",3,3,7.3 Marla
2 Bed Apartment Available For Sale In G-15 Islamabad,61 Lakh,"G-15, Islamabad",2,2,2.9 Marla
Beautiful Prime Location Single Unit House For Sale In F Block Mpchs Multi Garden B-17 Islamabad,2.3 Crore,"MPCHS - Multi Gardens, B-17",4,4,5 Marla
Brand New Lavish Double Unit For Sale In DHA-2,12.45 Crore,"DHA Defence Phase 2, DHA Defence",5,6,1 Kanal
A Lavish Well Designed House For Sale In DHA-2,9.65 Crore,"DHA Defence Phase 2, DHA Defence",5,7,1 Kanal
Ground Floor Brand New Apartment For Sale,3.45 Crore,"Askari Heights 4, DHA Phase 5 - Sector H",3,4,11.9 Marla
E-7 House For Sale.,90 Crore,"E-7, Islamabad",6,6,2.1 Kanal
Luxury 2 Bed Apartment For Sale In G15 Islamabad,58 Lakh,"G-15 Markaz, G-15",2,2,3 Marla
2 Bed Unfurnished Flat Available For Slae,1.42 Crore,"E-11/2, E-11",2,2,4.7 Marla
3 Bed Room Apartment Available For Sale,2.05 Crore,"E-11, Islamabad",3,3,6.2 Marla
Apollo 3 BR ! Spacious Apartment For Sale,2.2 Crore,"Apollo Towers, E-11/4",3,3,6.2 Marla
Renovated 5-Bedroom House for Sale in F-7 Islamabad,27 Crore,"F-7, Islamabad",5,6,1.1 Kanal
Highly-Desirable House Available In I-8/4 For Sale,13.95 Crore,"I-8/4, I-8",6,6,14 Marla
Brand New House For Sale In G-11,16.5 Crore,"G-11, Islamabad",6,6,1 Kanal
5 Marla House Available For Sale,3.3 Crore,"DHA Defence Phase 5, DHA Defence",3,4,5 Marla
B-17 II 40x80 Luxury House II For Sale II Best Location Near to MDR,8.8 Crore,"B-17, Islamabad",6,6,14 Marla
"Luxury 1Bedroom Unit Near Giga Mall, Defence Executive, DHAII Islamabad",1.1 Crore,"Defence Executive Apartments, DHA Defence Phase 2",1,1,4.8 Marla
Bahria Enclave Islambad Sector H 5 Marla Fully Furnished House Available For Sale,3.15 Crore,"Bahria Enclave - Sector H, Bahria Enclave",3,3,5 Marla
Brand New House Available For Sale In Sector F-11/2.,30 Crore,"F-11/2, F-11",9,6,1.3 Kanal
Brand New House Available for Sale In Sector C-1 Bahria Enclave Islamabad.,4.8 Crore,"Bahria Enclave, Bahria Town",5,6,10 Marla
Brand New House Available For Sale In Sector A Bahria Enclave Islamabad.,5.4 Crore,"Bahria Enclave, Bahria Town",5,6,10 Marla
"Prime Investment Opportunity: Demolished House In F-7, CDA Transfer, 60x100",26 Crore,"F-7, Islamabad",5,5,1.3 Kanal
Luxurious 6-Bedroom House For Sale In Prime Location,45 Crore,"F-7, Islamabad",6,6,2 Kanal
Beautiful Prime Location Modern Design Double Highted Kanal House For Sale In Mpchs Multi Garden B-17 Islamabad,8.5 Crore,"MPCHS - Multi Gardens, B-17",7,6,1 Kanal
"8 Marla Brand New House For Sale In Multi Gardens B-17 (MPCHS), Islamabad FMC",3.95 Crore,"MPCHS - Multi Gardens, B-17",4,6,8 Marla
Beautiful Prime Location Modern Single Unit House 25*50 For Sale In F Block Mpchs Multi Garden B-17 Islamabad,2 Crore,"MPCHS - Multi Gardens, B-17",3,4,5 Marla
KANAL LUXURY BRAND NEW HOUSE FOR SALE DHA DEFENCE PHASE 1,9 Crore,"DHA Defence Phase 1, DHA Defence",5,6,1 Kanal
House For Sale I-10 Islamabad,2.35 Crore,"I-10, Islamabad",4,2,4 Marla
1 BED ROOM LUXURY APARTMENT IN THE MIDDLE OF PARK-VIEW CITY DOWNTOWN,2.7 Crore,"Park View City - Downtown Block, Park View City",1,1,3.1 Marla
Fully Furnished 2 Bed Flat For Sale,1.15 Crore,"E-11, Islamabad",2,2,4.4 Marla
1 Bed Furnished Flat Available For Sale,1.23 Crore,"E-11, Islamabad",1,1,3.8 Marla
2 Bedroom Luxury Furnished Apartment,1.9 Crore,"Makkah Tower, E-11",2,3,6.2 Marla
1 BED ROOM LUXURY FURNISHED APARTMENT IN ISLAMABAD,1.25 Crore,"Makkah Tower, E-11",1,2,3.8 Marla
1 BED ROOM APARTMENT IN E-11 MARKAZ,90 Lakh,"E-11/2, E-11",1,1,2.9 Marla
1 Bed Room Flat Available For Sale Investor Rate,1.15 Crore,"E-11, Islamabad",1,1,3.3 Marla
"Investor Alert E-7 622 Sqyd Brand New House 6Bed Drawing ,Dining 2 TV Lounge with Servant Quarter Peaceful Location for sale",55 Crore,"E-7, Islamabad",6,7,1.2 Kanal
4 Bed Brand New Designer House For Sale On 6 Marla,2.2 Crore,"Bani Gala, Islamabad",4,6,6 Marla
Designer House Front Open Available For Sale,5.35 Crore,"DHA Phase 3 - Block B, DHA Defence Phase 3",5,6,11 Marla
Prime Location 1 Kanal House In D-12/4 Is Available For Sale,25 Crore,"D-12/4, D-12",9,6,1 Kanal
7 Marla House In Stunning MPCHS - Block C Is Available For Sale,4.25 Crore,"MPCHS - Block C, MPCHS - Multi Gardens",5,5,7 Marla
Centrally Located House Available In Faisal Margalla City For sale,2.3 Crore,"Faisal Margalla City, B-17",N/A,N/A,5 Marla
Furnished 3-Bed Golf-Facing Apartment for Sale Ground Floor Eighteen Islamabad,5.8 Crore,"Eighteen, Kashmir Highway",3,4,9.8 Marla
Spanish Elegance In The Heart Of F-6,32 Crore,"F-6, Islamabad",N/A,N/A,1 Kanal
Investor Opportunity: Corner Property in F-11,19 Crore,"F-11, Islamabad",N/A,N/A,1 Kanal
Brand New Corner Double Storey CDA LOP clear Designer House For Sale In Jinnah Garden Phase 1 Islamabad,7.25 Crore,"Jinnah Gardens Phase 1, Jinnah Gardens",7,6,14.2 Marla
Most Modern Constructed Kanal House,9 Crore,"MPCHS - Multi Gardens, B-17",6,6,1 Kanal
Prime Location House For Sale,75 Crore,"F-7, Islamabad",10,N/A,3.8 Kanal
Beautiful House For Sale In F7,1.1 Arab,"F-7, Islamabad",1,1,4 Kanal
Spacious 2-Bed Apartment for Sale in investor Rate 887 Sq. Ft. in Gulberg Greens islamabad,1.37 Crore,"Gulberg Greens, Gulberg",2,3,3.9 Marla
One Bedroom Non Furnished Apartment Available For Sale In Gulberg Heights Gulberg Green Islamabad,1.1 Crore,"Gulberg Heights, Gulberg Greens",1,1,3.1 Marla
2 Bed Room Apartment With 2 Balcony ;Veiw Apartment Available For Sale investor Rate,1.1 Crore,"Gulberg Icon 2, Gulberg Greens",2,2,3.5 Marla
2 Bed Apartment For Sale In Gulberg Greens Islamabad,84 Lakh,"Gulberg Greens, Gulberg",2,2,3.2 Marla
Exclusive E-11/3 Family Home | Street-End Privacy | 4 Bed + Basement + Lawn,15 Crore,"E-11/3, E-11",6,7,1 Kanal
10 Marla Brand New House For Sale Top City-1,4.25 Crore,"Top City 1, Islamabad",5,6,10 Marla
10 Marla Brand New luxury House for Sale,4.45 Crore,"Top City 1, Islamabad",5,6,10 Marla
Double Storey 4 Marla House For sale In G-11 G-11,3.75 Crore,"G-11, Islamabad",3,3,4 Marla
Double Storey New 7 Marla House Available In G-11 For Sale,6.75 Crore,"G-11, Islamabad",4,4,7 Marla
25 X 40 House Available For Sale In G-13,3.15 Crore,"G-13/1, G-13",4,5,4.4 Marla
5 Marla House For Sale On Best Price,1.9 Crore,"National Police Foundation O-9 - Block C, National Police Foundation O-9",4,5,5 Marla
4 Bed Brand New Double Story House For Sale On 1 Kanal,6.5 Crore,"Bani Gala, Islamabad",4,N/A,1 Kanal
Beautiful New House For Sale,15.5 Crore,"DHA Phase 2 - Sector B, DHA Defence Phase 2",8,6,1 Kanal
Centrally Located House Available In MPCHS - Block C For Sale,5.5 Crore,"MPCHS - Block C, MPCHS - Multi Gardens",N/A,N/A,12.4 Marla
